[[6, 3], [11, 3], [28, 3], [31, 4], [48, 5], [58, 6], [67, 7], [72, 8], [82, 9], [92, 9]]
[[7, 1], [15, 1], [24, 2], [35, 3], [47, 3], [59, 3], [65, 5], [74, 6], [87, 8], [91, 8]]
[[0, 0], [18, 1], [22, 1], [39, 3], [48, 4], [52, 4], [60, 4], [72, 6], [82, 7], [90, 9]]
[[4, 0], [15, 1], [27, 1], [31, 2], [46, 2], [54, 4], [62, 5], [73, 7], [84, 7], [99, 8]]
[[4, 1], [12, 1], [28, 2], [38, 3], [43, 3], [52, 5], [67, 5], [75, 6], [86, 6], [99, 8]]
[[9, 0], [10, 0], [27, 1], [30, 1], [48, 1], [51, 2], [68, 2], [73, 8], [81, 9], [98, 9]]
[[9, 1], [16, 1], [22, 1], [38, 2], [41, 4], [57, 4], [62, 5], [78, 6], [84, 8], [91, 9]]
[[0, 2], [14, 3], [21, 3], [30, 3], [46, 3], [57, 4], [64, 6], [76, 6], [82, 7], [94, 8]]
[[98, 9], [84, 7], [76, 6], [68, 6], [58, 5], [40, 4], [38, 3], [29, 2], [18, 1], [5, 0]]
[[97, 9], [80, 9], [72, 8], [63, 7], [54, 7], [42, 3], [30, 2], [20, 2], [14, 2], [0, 1]]
[[95, 9], [80, 7], [75, 6], [63, 6], [55, 5], [41, 3], [30, 2], [23, 2], [14, 0], [1, 0]]
[[99, 8], [87, 7], [76, 6], [65, 6], [52, 6], [45, 6], [39, 5], [22, 5], [16, 3], [2, 2]]
[[91, 8], [82, 8], [79, 7], [63, 6], [57, 3], [40, 2], [32, 2], [28, 2], [15, 2], [5, 0]]
[[99, 9], [88, 8], [72, 7], [63, 5], [58, 4], [41, 3], [35, 1], [24, 0], [19, 0], [0, 0]]
[[92, 9], [87, 8], [78, 8], [66, 7], [54, 6], [47, 3], [30, 2], [23, 1], [11, 1], [2, 0]]
[[5, 0], [11, 0], [23, 1], [30, 5], [41, 6], [52, 6], [66, 6], [76, 7], [83, 8], [97, 8]]
[[5, 0], [16, 1], [27, 2], [30, 5], [44, 5], [57, 5], [64, 7], [78, 7], [81, 8], [91, 8]]
[[8, 0], [16, 2], [22, 2], [37, 2], [44, 3], [50, 3], [65, 4], [78, 5], [84, 6], [98, 9]]
[[5, 0], [19, 3], [23, 4], [34, 4], [49, 4], [51, 5], [69, 6], [73, 7], [81, 9], [93, 9]]
[[9, 1], [12, 1], [28, 4], [32, 4], [42, 5], [57, 5], [61, 6], [71, 6], [83, 7], [91, 9]]
[[0, 0], [15, 2], [21, 3], [38, 4], [48, 4], [58, 4], [62, 4], [76, 6], [88, 7], [92, 9]]
[[8, 0], [12, 2], [29, 4], [38, 4], [43, 5], [51, 5], [68, 8], [76, 8], [82, 8], [94, 9]]
[[5, 0], [19, 0], [26, 1], [30, 1], [45, 3], [58, 3], [62, 4], [74, 4], [85, 9], [92, 9]]
[[4, 1], [15, 2], [27, 2], [39, 4], [43, 5], [55, 6], [67, 6], [74, 8], [83, 8], [96, 8]]
[[5, 1], [14, 2], [26, 2], [39, 3], [40, 6], [53, 6], [61, 6], [78, 6], [82, 7], [98, 8]]
[[3, 0], [15, 0], [29, 1], [33, 4], [41, 6], [57, 7], [64, 7], [78, 7], [82, 8], [94, 8]]
[[5, 0], [12, 2], [25, 3], [32, 4], [47, 5], [55, 6], [69, 6], [74, 8], [84, 8], [96, 9]]
[[3, 0], [12, 0], [29, 2], [31, 2], [41, 3], [53, 5], [67, 5], [72, 6], [82, 7], [95, 8]]
[[0, 0], [18, 3], [22, 4], [39, 5], [43, 5], [56, 6], [69, 7], [79, 8], [82, 9], [98, 9]]
[[1, 0], [15, 0], [29, 1], [31, 5], [41, 5], [53, 5], [63, 5], [79, 6], [83, 9], [96, 9]]
[[7, 1], [17, 2], [22, 4], [37, 5], [42, 5], [54, 6], [62, 6], [71, 6], [81, 8], [97, 9]]
[[4, 0], [14, 0], [29, 1], [39, 2], [49, 2], [55, 5], [66, 5], [78, 6], [81, 8], [90, 8]]
[[91, 7], [86, 6], [70, 6], [68, 3], [53, 3], [45, 2], [35, 1], [20, 0], [15, 0], [1, 0]]
[[94, 9], [89, 7], [73, 6], [63, 6], [55, 5], [44, 4], [39, 4], [22, 4], [19, 1], [6, 1]]
[[96, 7], [81, 7], [72, 6], [60, 6], [59, 2], [44, 2], [35, 2], [23, 1], [19, 1], [1, 0]]
[[93, 9], [89, 8], [74, 7], [65, 5], [57, 2], [43, 1], [30, 1], [25, 0], [16, 0], [7, 0]]
[[93, 9], [83, 8], [79, 7], [60, 7], [51, 5], [41, 4], [32, 3], [26, 3], [16, 2], [1, 0]]
[[97, 8], [88, 7], [73, 6], [66, 5], [51, 4], [48, 4], [36, 3], [23, 2], [12, 0], [9, 0]]
[[96, 8], [80, 7], [72, 7], [64, 5], [56, 4], [42, 3], [34, 3], [26, 3], [12, 1], [7, 0]]
[[93, 7], [82, 7], [77, 7], [61, 7], [58, 6], [40, 6], [32, 5], [21, 2], [14, 1], [7, 0]]
[[95, 6], [85, 5], [70, 4], [60, 2], [55, 2], [44, 2], [30, 1], [21, 0], [17, 0], [6, 0]]
[[99, 9], [84, 6], [71, 5], [68, 4], [53, 3], [40, 2], [37, 2], [27, 1], [18, 0], [3, 0]]
[[98, 9], [80, 9], [72, 8], [66, 8], [53, 7], [40, 7], [38, 6], [26, 5], [19, 4], [5, 0]]
[[91, 9], [89, 8], [79, 8], [61, 7], [57, 7], [45, 4], [35, 4], [23, 4], [17, 1], [3, 0]]
[[90, 8], [81, 7], [73, 7], [68, 4], [54, 4], [40, 4], [32, 2], [27, 1], [15, 1], [7, 0]]
[[95, 9], [81, 9], [76, 6], [66, 4], [58, 4], [42, 2], [30, 2], [27, 2], [13, 1], [7, 0]]
[[93, 8], [87, 6], [73, 5], [60, 4], [57, 4], [48, 2], [33, 1], [21, 1], [15, 0], [7, 0]]
